Point_1:,SQ1_CP1_DF_OAT
Point_2:,SQ1_CP1_DF_CH1_TONS
Point_3:,SQ1_CP1_DF_CH2_TONS
Point_4:,SQ1_CP1_DF_CH3_TONS
Point_5:,SQ1_CP1_DF_CH4_TONS
Point_6:,1CHWS
Point_7:,1CHWR
Point_8:,SQ1_CP1_DF_CH1_KW
Point_9:,SQ1_CP1_DF_CH2_KW
Point_10:,SQ1_CP1_DF_CH3_KW
Point_11:,SQ1_CP1_DF_CH4_KW
Point_12:,SQ1_CP1_DF_CH1_KWT
Point_13:,SQ1_CP1_DF_CH2_KWT
Point_14:,SQ1_CP1_DF_CH3_KWT
Point_15:,SQ1_CP1_DF_CH4_KWT
Point_16:,SQ1.PCHW1.PMP.VFD:CMD REF
Point_17:,SQ1.PCHW2.PMP.VFD:CMD REF
Point_18:,SQ1.PCHW3.PMP.VFD:CMD REF
Point_19:,SQ1.PCHW4.PMP4A.VFD:CMD REF
Point_20:,SQ1.PCHW4.PMP4B.VFD:CMD REF
Point_21:,SQ1_CP1_DF_CHWP1_KW
Point_22:,SQ1_CP1_DF_CHWP2_KW
Point_23:,SQ1_CP1_DF_CHWP3_KW
Point_24:,SQ1_CP1_DF_CHWP4A_KW
Point_25:,SQ1_CP1_DF_CHWP4B_KW
Point_26:,SQ1_CP1_DF_CT1_VFD_SPD
Point_27:,SQ1_CP1_DF_CT2_VFD_SPD
Point_28:,SQ1_CP1_DF_CT3_VFD_SPD
Point_29:,SQ1_CP1_DF_CT1_KW
Point_30:,SQ1_CP1_DF_CT2_KW
Point_31:,SQ1_CP1_DF_CT3_KW
Point_32:,SQ1.PCW1.PMP.VFD:CMD REF
Point_33:,SQ1.PCW2.PMP.VFD:CMD REF
Point_34:,SQ1.PCW3.PMP3.VFD:CMD REF
Point_35:,SQ1.SCHW1.PMP.VFD:CMD REF
Point_36:,SQ1.SCHW2.PMP.VFD:CMD REF
Point_37:,SQ1_CP1_DF_SCHWP1_KW
Point_38:,SQ1_CP1_DF_SCHWP2_KW
Point_39:,1CDWR
Point_40:,1CDWS
